 TIME [sec]:    900.063363940244     
 
  No    Distance     Area    W.Depth   W.El.    Botton El.  delta fondo Discharge    Vel.    Froude      Qs           U*      Franco
           [m]       [m^2]     [m]      [m]           [m]       [m]     [m^3/s]      [m/s]                l/s                    [m]
 
 tratto            1
   0   513.530        9.66    0.563   743.485      742.922       0.19      21.250   2.199     0.817    ********       0.245       3.785
   1   495.530        9.75    0.556   743.130      742.574      -0.01      21.250   2.199     0.933      28.872       0.214       3.460
   2   474.530        9.69    0.538   742.944      742.406       0.01      21.257   2.183     0.955      25.456       0.209       2.856
   3   453.530        9.40    0.516   742.748      742.232       0.01      21.262   2.202     1.005      23.910       0.203       2.262
   4   452.030        9.30    0.510   742.718      742.208       0.00      21.264   2.264     1.022      24.246       0.209       2.232
   5   450.860        9.06    0.497   742.700      742.203       0.00      21.264   2.292     1.063      24.285       0.211       2.210
   6   449.850        8.68    0.476   742.676      742.200       0.00      21.264   2.356     1.133      24.284       0.153       2.234
 tratto            2
   0   448.330        6.52    0.360   741.069      740.710      -0.24      21.264   2.438     1.182    ********       0.338       3.791
   1   446.830        9.14    0.503   740.963      740.460      -0.47      21.229   3.129     1.045      30.709       0.295       3.847
   2   427.330        8.83    0.490   740.935      740.444      -0.13      21.243   2.331     1.097      32.443       0.240       3.245
   3   404.830        8.46    0.475   740.609      740.134      -0.04      21.235   2.416     1.162      64.322       0.249       2.851
   4   380.830        9.02    0.531   740.207      739.676      -0.05      21.228   2.492     1.031      80.841       0.286       2.473
   5   379.330        9.05    0.524   740.219      739.695      -0.02      21.215   2.351     1.035      90.164       0.272       2.421
   6   377.910        7.78    0.464   740.188      739.723       0.04      21.214   2.379     1.278      90.544       0.233       2.402
   7   377.100        6.95    0.417   740.097      739.680       0.00      21.213   2.755     1.509      90.754       0.185       2.493
 tratto            3
   0   373.600        7.14    0.402   738.963      738.561       0.10      21.213   2.409     1.034    ********       0.308       3.587
   1   372.100        9.04    0.521   738.890      738.369      -0.06      21.073   2.876     1.031      92.776       0.333       3.610
   2   355.600        8.49    0.498   738.732      738.234       0.06      21.070   2.345     1.123      93.330       0.252       3.278
   3   330.100        7.50    0.421   738.282      737.861       0.09      21.064   2.510     1.383      86.308       0.218       2.958
   4   306.100        8.38    0.466   737.774      737.308      -0.08      21.072   2.779     1.176      61.831       0.286       2.746
   5   304.600        8.88    0.492   737.829      737.337      -0.03      21.045   2.496     1.079      70.108       0.268       2.641
   6   303.300        9.00    0.499   737.850      737.351       0.00      21.039   2.369     1.056      69.022       0.266       2.580
   7   302.490        9.46    0.524   737.874      737.350       0.00      20.763   2.366     0.968      69.680       0.151       2.556
 tratto            4
   0   300.980        6.20    0.346   736.711      736.366       0.04      21.026   2.464     1.175    ********       0.317       3.679
   1   299.480        8.02    0.446   736.607      736.161      -0.14      20.946   3.280     1.249      73.918       0.326       3.733
   2   272.480        8.00    0.450   736.373      735.923       0.03      20.962   2.615     1.247      77.132       0.255       3.187
   3   251.480        8.30    0.473   736.049      735.576       0.01      20.954   2.609     1.172      72.888       0.260       2.891
   4   228.980        9.26    0.528   735.781      735.253       0.02      20.955   2.482     0.994      70.542       0.283       2.499
   5   227.480        8.53    0.484   735.815      735.331       0.12      20.962   2.281     1.128      64.942       0.236       2.425
   6   226.450        6.61    0.386   735.733      735.347       0.16      20.962   2.514     1.628      64.796       0.173       2.477
   7   225.640        5.53    0.326   735.516      735.190       0.00      20.962   3.223     2.120      64.754       0.225       2.694
 tratto            5
   0   224.130        6.43    0.368   734.360      733.992      -0.07      20.965   2.434     1.119    ********       0.331       3.810
