  52
        52          T 
    513.53           7
     0.000    747.27000     55.00000
     0.930    743.11615     29.00000
     7.190    743.09615     34.00000
    12.590    743.07615     29.00000
    18.080    743.05615     29.00000
    18.910    743.05615     55.00000
    20.070    747.28000     55.00000
        51          T 
    495.53           7
     0.000    746.59000     55.00000
     0.940    742.64013     29.00000
     7.200    742.63013     34.00000
    12.600    742.61013     29.00000
    13.160    742.60013     29.00000
    18.940    742.60013     55.00000
    20.040    746.60000     55.00000
        50          T 
    474.53           7
     0.000    745.80000     55.00000
     0.950    742.43528     29.00000
     7.210    742.42528     34.00000
     7.430    742.41528     34.00000
    12.620    742.41528     29.00000
    18.980    742.41528     55.00000
    20.020    745.81000     55.00000
        49          T 
    453.53           7
     0.000    745.01000     55.00000
     0.960    742.24339     29.00000
     1.690    742.23339     29.00000
     8.420    742.23339     34.00000
    11.420    742.23339     29.00000
    19.020    742.23339     55.00000
    19.990    745.02000     55.00000
        48          T 
    452.03           7
     0.000    744.95000     55.00000
     0.960    742.20989     29.00000
     1.280    742.20989     29.00000
     8.420    742.20989     34.00000
    11.420    742.20989     29.00000
    19.020    742.20989     55.00000
    19.990    744.96000     55.00000
        47          T 
    450.86           6
     0.000    744.91000     55.00000
     0.960    742.20451     29.00000
     8.420    742.20451     34.00000
    11.420    742.20451     29.00000
    19.020    742.20451     55.00000
    19.990    744.92000     55.00000
        46          F 
    449.85           8
     0.000    744.91000     55.00000
     0.960    742.20000     55.00000
     8.420    742.20000     55.00000
     8.940    742.20000     55.00000
    10.900    742.20000     55.00000
    11.420    742.20000     55.00000
    19.020    742.20000     55.00000
    19.990    744.92000     55.00000
        52          T 
    448.33           7
     0.000    744.86000     26.96533
     0.970    740.63559     26.96533
     1.340    740.63559     26.96533
     5.420    740.63559     26.96533
    10.830    740.63559     26.96533
    19.020    740.63559     26.96533
    19.990    744.87000     26.96533
        51          T 
    446.83           7
     0.000    744.81000     55.00000
     0.970    740.38771     29.00000
     1.720    740.38771     29.00000
     5.420    740.38771     34.00000
    10.830    740.38771     29.00000
    19.020    740.38771     55.00000
    20.000    744.82000     55.00000
        50          T 
    427.33           7
     0.000    744.18000     55.00000
     1.050    740.37266     29.00000
     6.620    740.35266     29.00000
     7.190    740.35266     34.00000
    12.590    740.35266     29.00000
    19.030    740.35266     55.00000
    20.060    744.20000     55.00000
        49          T 
    404.83           7
     0.000    743.46000     55.00000
     1.140    740.11493     29.00000
     5.370    740.09493     34.00000
    12.290    740.08493     34.00000
    16.120    740.08493     29.00000
    19.050    740.08493     55.00000
    20.130    743.48000     55.00000
        48          T 
    380.83           7
     0.000    742.68000     55.00000
     1.240    739.71962     29.00000
     5.350    739.69962     34.00000
    16.040    739.67962     29.00000
    18.330    739.65962     29.00000
    19.060    739.65962     55.00000
    20.200    742.71000     55.00000
        47          T 
    379.33           7
     0.000    742.64000     55.00000
     1.240    739.73204     29.00000
     5.350    739.71204     34.00000
    16.040    739.69204     29.00000
    18.700    739.68204     29.00000
    19.060    739.68204     55.00000
    20.210    742.67000     55.00000
        46          T 
    377.91           6
     0.000    742.59000     55.00000
     1.250    739.77572     35.00000
     5.720    739.75572     34.00000
    16.030    739.73572     35.00000
    19.060    739.71572     55.00000
    20.210    742.62000     55.00000
        45          F 
    377.10           4
     0.000    742.59000     55.00000
     1.250    739.74000     55.00000
    19.060    739.68000     55.00000
    20.210    742.62000     55.00000
        52          T 
    373.60           7
     0.000    742.55000     28.71452
     1.250    738.60649     28.71452
     3.560    738.54649     28.71452
    12.470    738.54649     28.71452
    18.680    738.54649     28.71452
    19.060    738.54649     28.71452
    20.210    742.57000     28.71452
        51          T 
    372.10           7
     0.000    742.50000     55.00000
     1.240    738.40154     35.00000
     3.560    738.37154     34.00000
    12.470    738.35154     29.00000
    18.310    738.34154     29.00000
    19.060    738.34154     55.00000
    20.210    742.53000     55.00000
        50          T 
    355.60           7
     0.000    742.01000     55.00000
     1.210    738.29459     35.00000
     1.780    738.28459     34.00000
     8.910    738.27459     29.00000
    14.180    738.26459     29.00000
    19.030    738.24459     55.00000
    20.190    742.03000     55.00000
        49          T 
    330.10           7
     0.000    741.24000     55.00000
     1.160    737.92765     35.00000
     1.780    737.92765     34.00000
     7.810    737.90765     34.00000
     8.920    737.90765     29.00000
    19.000    737.90765     55.00000
    20.150    741.25000     55.00000
        48          T 
    306.10           6
     0.000    740.52000     55.00000
     1.120    737.30780     34.00000
     1.810    737.29780     34.00000
    12.490    737.29780     29.00000
    18.960    737.29780     55.00000
    20.120    740.52000     55.00000
        47          T 
    304.60           6
     0.000    740.48000     55.00000
     1.110    737.33575     34.00000
     1.440    737.33575     34.00000
    14.280    737.33575     29.00000
    18.960    737.33575     55.00000
    20.120    740.47000     55.00000
        46          T 
    303.30           5
     0.000    740.44000     55.00000
     1.110    737.35142     34.00000
    16.070    737.35142     29.00000
    18.960    737.35142     55.00000
    20.120    740.43000     55.00000
        45          F 
    302.49           4
     0.000    740.44000     55.00000
     1.110    737.35000     55.00000
    18.960    737.35000     55.00000
    20.120    740.43000     55.00000
        52          T 
    300.98           7
     0.000    740.40000     29.27845
     1.110    736.33201     29.27845
     1.460    736.33201     29.27845
     3.570    736.33201     29.27845
    14.280    736.33201     29.27845
    18.960    736.33201     29.27845
    20.120    740.39000     29.27845
        51          T 
    299.48           7
     0.000    740.35000     55.00000
     1.110    736.13276     29.00000
     1.820    736.12276     29.00000
     7.140    736.12276     34.00000
    12.500    736.12276     29.00000
    18.960    736.12276     55.00000
    20.120    740.34000     55.00000
        50          T 
    272.48           7
     0.000    739.56000     55.00000
     1.110    735.94462     29.00000
     7.150    735.93462     34.00000
     8.180    735.92462     34.00000
    12.510    735.92462     29.00000
    18.980    735.92462     55.00000
    20.110    739.58000     55.00000
        49          T 
    251.48           7
     0.000    738.94000     55.00000
     1.100    735.61095     29.00000
     7.160    735.60095     34.00000
    12.530    735.59095     29.00000
    13.120    735.58095     29.00000
    19.000    735.58095     55.00000
    20.100    738.98000     55.00000
        48          T 
    228.98           7
     0.000    738.28000     55.00000
     1.100    735.30303     35.00000
     5.380    735.28303     34.00000
    14.340    735.27303     29.00000
    18.420    735.26303     29.00000
    19.020    735.26303     55.00000
    20.090    738.34000     55.00000
        47          T 
    227.48           6
     0.000    738.24000     55.00000
     1.100    735.37567     35.00000
     3.580    735.35567     34.00000
    18.780    735.33567     34.00000
    19.020    735.33567     55.00000
    20.090    738.30000     55.00000
        46          T 
    226.45           4
     0.000    738.21000     55.00000
     1.100    735.38965     34.00000
    19.020    735.34965     55.00000
    20.090    738.27000     55.00000
        45          F 
    225.64           4
     0.000    738.21000     55.00000
     1.100    735.23000     55.00000
    19.020    735.19000     55.00000
    20.090    738.27000     55.00000
        52          T 
    224.13           6
     0.000    738.17000     27.45417
     0.000    738.07206     27.45417
     1.100    734.01206     27.45417
     1.790    733.99206     27.45417
    19.010    733.97206     27.45417
    20.090    738.22000     27.45417
        51          T 
    222.63           9
     0.000    738.14000     55.00000
     0.000    737.82319     55.00000
     1.100    733.79319     29.00000
     7.160    733.78319     34.00000
     8.960    733.77319     29.00000
    12.540    733.76319     34.00000
    16.120    733.76319     35.00000
    19.010    733.75319     55.00000
    20.090    738.18000     55.00000
        50          T 
    201.63           9
     0.000    737.64000     55.00000
     0.000    737.31572     55.00000
     1.060    733.65572     29.00000
     5.360    733.64572     34.00000
     7.150    733.63572     29.00000
    12.520    733.62572     34.00000
    14.300    733.62572     35.00000
    18.940    733.61572     55.00000
    20.050    737.51000     55.00000
        49          T 
    179.13           9
     0.000    737.10000     55.00000
     0.000    736.53165     55.00000
     1.030    733.26165     29.00000
     5.350    733.25165     34.00000
     8.920    733.24165     29.00000
    14.260    733.24165     34.00000
    16.050    733.23165     35.00000
    18.860    733.22165     55.00000
    20.010    736.80000     55.00000
        48          T 
    155.13           8
     0.000    736.53000     55.00000
     0.000    735.77159     55.00000
     0.990    732.92159     34.00000
     3.560    732.91159     29.00000
    12.450    732.90159     34.00000
    14.230    732.89159     29.00000
    18.780    732.88159     55.00000
    19.970    736.04000     55.00000
        47          T 
    153.63           8
     0.000    736.49000     55.00000
     0.000    735.70690     55.00000
     0.990    732.88690     34.00000
     5.330    732.87690     35.00000
    10.670    732.86690     34.00000
    14.220    732.85690     29.00000
    18.770    732.84690     55.00000
    19.970    736.00000     55.00000
        46          T 
    152.76           8
     0.000    736.47000     55.00000
     0.000    735.68259     55.00000
     0.990    732.87259     34.00000
     5.330    732.86259     35.00000
    10.670    732.85259     34.00000
    14.220    732.84259     29.00000
    18.770    732.83259     55.00000
    19.970    735.97000     55.00000
        45          F 
    151.95           5
     0.000    736.47000     55.00000
     0.000    735.67000     55.00000
     0.990    732.86000     55.00000
    18.770    732.82000     55.00000
    19.970    735.97000     55.00000
        52          T 
    150.44           7
     0.000    736.43000     26.74137
     0.000    735.61166     26.74137
     1.000    731.65166     26.74137
     3.800    731.65166     26.74137
    11.390    731.63166     26.74137
    18.780    731.62166     26.74137
    19.980    735.93000     26.74137
        51          T 
    148.94           8
     0.000    736.39000     55.00000
     0.000    735.41489     55.00000
     1.000    731.45489     34.00000
     1.780    731.44489     22.00000
     8.900    731.43489     34.00000
    14.240    731.42489     29.00000
    18.800    731.41489     55.00000
    19.990    735.88000     55.00000
        50          T 
    129.44           8
     0.000    735.90000     55.00000
     0.000    735.30725     55.00000
     1.070    731.28725     34.00000
     1.790    731.26725     22.00000
    10.740    731.26725     34.00000
    14.320    731.25725     29.00000
    18.970    731.24725     55.00000
    20.120    735.31000     55.00000
        49          T 
    105.44           8
     0.000    735.29000     55.00000
     0.000    734.97647     55.00000
     1.150    730.86647     34.00000
     1.800    730.85647     22.00000
    10.820    730.85647     34.00000
    14.430    730.84647     29.00000
    19.190    730.82647     55.00000
    20.280    734.61000     55.00000
        48          T 
    79.940           8
     0.000    734.65000     55.00000
     0.000    734.64730     55.00000
     1.240    730.43730     34.00000
     1.820    730.42730     29.00000
     9.090    730.40730     34.00000
    14.540    730.40730     35.00000
    19.420    730.39730     55.00000
    20.450    733.86000     55.00000
        47          T 
    78.440           9
     0.000    734.61000     55.00000
     0.000    734.58909     55.00000
     1.250    730.36909     35.00000
     1.820    730.36909     34.00000
     3.640    730.34909     29.00000
     9.090    730.35909     34.00000
    16.360    730.33909     35.00000
    19.430    730.32909     55.00000
    20.460    733.81000     55.00000
        46          T 
    77.320           8
     0.000    734.58000     55.00000
