  52
        52          T 
    513.53           7
     0.000    747.27000     55.00000
     0.930    742.98159     29.00000
     7.190    742.96159     34.00000
    12.590    742.94159     29.00000
    18.080    742.92159     29.00000
    18.910    742.92159     55.00000
    20.070    747.28000     55.00000
        51          T 
    495.53           7
     0.000    746.59000     55.00000
     0.940    742.61377     29.00000
     7.200    742.60377     34.00000
    12.600    742.58377     29.00000
    13.160    742.57377     29.00000
    18.940    742.57377     55.00000
    20.040    746.60000     55.00000
        50          T 
    474.53           7
     0.000    745.80000     55.00000
     0.950    742.42585     29.00000
     7.210    742.41585     34.00000
     7.430    742.40585     34.00000
    12.620    742.40585     29.00000
    18.980    742.40585     55.00000
    20.020    745.81000     55.00000
        49          T 
    453.53           7
     0.000    745.01000     55.00000
     0.960    742.24238     29.00000
     1.690    742.23238     29.00000
     8.420    742.23238     34.00000
    11.420    742.23238     29.00000
    19.020    742.23238     55.00000
    19.990    745.02000     55.00000
        48          T 
    452.03           7
     0.000    744.95000     55.00000
     0.960    742.20830     29.00000
     1.280    742.20830     29.00000
     8.420    742.20830     34.00000
    11.420    742.20830     29.00000
    19.020    742.20830     55.00000
    19.990    744.96000     55.00000
        47          T 
    450.86           6
     0.000    744.91000     55.00000
     0.960    742.20348     29.00000
     8.420    742.20348     34.00000
    11.420    742.20348     29.00000
    19.020    742.20348     55.00000
    19.990    744.92000     55.00000
        46          F 
    449.85           8
     0.000    744.91000     55.00000
     0.960    742.20000     55.00000
     8.420    742.20000     55.00000
     8.940    742.20000     55.00000
    10.900    742.20000     55.00000
    11.420    742.20000     55.00000
    19.020    742.20000     55.00000
    19.990    744.92000     55.00000
        52          T 
    448.33           7
     0.000    744.86000     26.96292
     0.970    740.70968     26.96292
     1.340    740.70968     26.96292
     5.420    740.70968     26.96292
    10.830    740.70968     26.96292
    19.020    740.70968     26.96292
    19.990    744.87000     26.96292
        51          T 
    446.83           7
     0.000    744.81000     55.00000
     0.970    740.45998     29.00000
     1.720    740.45998     29.00000
     5.420    740.45998     34.00000
    10.830    740.45998     29.00000
    19.020    740.45998     55.00000
    20.000    744.82000     55.00000
        50          T 
    427.33           7
     0.000    744.18000     55.00000
     1.050    740.46433     29.00000
     6.620    740.44433     29.00000
     7.190    740.44433     34.00000
    12.590    740.44433     29.00000
    19.030    740.44433     55.00000
    20.060    744.20000     55.00000
        49          T 
    404.83           7
     0.000    743.46000     55.00000
     1.140    740.16411     29.00000
     5.370    740.14411     34.00000
    12.290    740.13411     34.00000
    16.120    740.13411     29.00000
    19.050    740.13411     55.00000
    20.130    743.48000     55.00000
        48          T 
    380.83           7
     0.000    742.68000     55.00000
     1.240    739.73552     29.00000
     5.350    739.71552     34.00000
    16.040    739.69552     29.00000
    18.330    739.67552     29.00000
    19.060    739.67552     55.00000
    20.200    742.71000     55.00000
        47          T 
    379.33           7
     0.000    742.64000     55.00000
     1.240    739.74468     29.00000
     5.350    739.72468     34.00000
    16.040    739.70468     29.00000
    18.700    739.69468     29.00000
    19.060    739.69468     55.00000
    20.210    742.67000     55.00000
        46          T 
    377.91           6
     0.000    742.59000     55.00000
     1.250    739.78345     35.00000
     5.720    739.76345     34.00000
    16.030    739.74345     35.00000
    19.060    739.72345     55.00000
    20.210    742.62000     55.00000
        45          F 
    377.10           4
     0.000    742.59000     55.00000
     1.250    739.74000     55.00000
    19.060    739.68000     55.00000
    20.210    742.62000     55.00000
        52          T 
    373.60           7
     0.000    742.55000     28.71425
     1.250    738.62090     28.71425
     3.560    738.56090     28.71425
    12.470    738.56090     28.71425
    18.680    738.56090     28.71425
    19.060    738.56090     28.71425
    20.210    742.57000     28.71425
        51          T 
    372.10           7
     0.000    742.50000     55.00000
     1.240    738.42875     35.00000
     3.560    738.39875     34.00000
    12.470    738.37875     29.00000
    18.310    738.36875     29.00000
    19.060    738.36875     55.00000
    20.210    742.53000     55.00000
        50          T 
    355.60           7
     0.000    742.01000     55.00000
     1.210    738.28432     35.00000
     1.780    738.27432     34.00000
     8.910    738.26432     29.00000
    14.180    738.25432     29.00000
    19.030    738.23432     55.00000
    20.190    742.03000     55.00000
        49          T 
    330.10           7
     0.000    741.24000     55.00000
     1.160    737.88076     35.00000
     1.780    737.88076     34.00000
     7.810    737.86076     34.00000
     8.920    737.86076     29.00000
    19.000    737.86076     55.00000
    20.150    741.25000     55.00000
        48          T 
    306.10           6
     0.000    740.52000     55.00000
     1.120    737.31826     34.00000
     1.810    737.30826     34.00000
    12.490    737.30826     29.00000
    18.960    737.30826     55.00000
    20.120    740.52000     55.00000
        47          T 
    304.60           6
     0.000    740.48000     55.00000
     1.110    737.33709     34.00000
     1.440    737.33709     34.00000
    14.280    737.33709     29.00000
    18.960    737.33709     55.00000
    20.120    740.47000     55.00000
        46          T 
    303.30           5
     0.000    740.44000     55.00000
     1.110    737.35070     34.00000
    16.070    737.35070     29.00000
    18.960    737.35070     55.00000
    20.120    740.43000     55.00000
        45          F 
    302.49           4
     0.000    740.44000     55.00000
     1.110    737.35000     55.00000
    18.960    737.35000     55.00000
    20.120    740.43000     55.00000
        52          T 
    300.98           7
     0.000    740.40000     29.20632
     1.110    736.36552     29.20632
     1.460    736.36552     29.20632
     3.570    736.36552     29.20632
    14.280    736.36552     29.20632
    18.960    736.36552     29.20632
    20.120    740.39000     29.20632
        51          T 
    299.48           7
     0.000    740.35000     55.00000
     1.110    736.17091     29.00000
     1.820    736.16091     29.00000
     7.140    736.16091     34.00000
    12.500    736.16091     29.00000
